item_id,name,category,temperature,milk_based,price,level
1,Iced Americano,coffee,cold,no,160,regular
2,Iced Espresso,coffee,cold,no,130,regular
3,Iced Espresso Tonic,coffee,cold,no,250,premium
4,Iced Espresso Red Bull,coffee,cold,no,290,premium
5,Cranberry Tonic,coffee,cold,no,270,premium

6,Iced Latte,coffee,cold,yes,220,regular
7,Affogato,coffee,cold,yes,250,premium
8,Classic Frappe,coffee,cold,yes,250,premium
9,Hazelnut Latte,coffee,cold,yes,260,premium
10,Caramel Latte,coffee,cold,yes,260,premium
11,Mocha,coffee,cold,yes,270,premium
12,Biscoff Latte,coffee,cold,yes,270,premium
13,Vietnamese Coffee,coffee,cold,yes,240,regular
14,Cafe Soda,coffee,cold,no,250,regular

15,Hot Americano,coffee,hot,no,150,regular
16,Hot Espresso,coffee,hot,no,130,regular

17,Hot Latte,coffee,hot,yes,190,regular
18,Hot Flat White,coffee,hot,yes,180,regular
19,Hot Cappuccino,coffee,hot,yes,180,regular
20,Hot Mocha,coffee,hot,yes,230,premium

21,Classic Cold Brew,manual,cold,no,220,premium
22,Cold Brew Tonic,manual,cold,no,270,premium
23,Cold Brew Red Bull,manual,cold,no,290,premium
24,V60 Pour Over Hot,manual,hot,no,220,premium
25,V60 Pour Over Cold,manual,cold,no,240,premium

26,Chocolate Shake,shake,cold,yes,220,regular
27,Biscoff Shake,shake,cold,yes,250,premium
28,Nutella Shake,shake,cold,yes,260,premium

29,Lemon Ice Tea,tea,cold,no,210,regular
30,Peach Ice Tea,tea,cold,no,210,regular
31,Ginger Fizz,tea,cold,no,250,premium
32,Orange Mint,tea,cold,no,250,premium
